Kinase_UniprotID,name,pathways,Database
Q03519,TAP2,RTK|JAK/STAT,SignaLink
Q92793,CREBBP,JAK/STAT,SignaLink
P30273,FCER1G,IIP,SignaLink
P14598,NCF1,TCR|IIP,SignaLink
P27797,CALR,TCR|IIP,SignaLink
P05112,IL4,JAK/STAT,SignaLink
P35225,IL13,JAK/STAT,SignaLink
Q13547,HDAC1,JAK/STAT,SignaLink
P04141,CSF2,JAK/STAT,SignaLink
P06702,S100A9,JAK/STAT|IIP,SignaLink
P13498,CYBA,JAK/STAT|IIP,SignaLink
P05556,ITGB1,JAK/STAT|IIP,SignaLink
P07996,THBS1,JAK/STAT|IIP,SignaLink
P22301,IL10,JAK/STAT,SignaLink
Q08334,IL10RB,JAK/STAT,SignaLink
P05231,IL6,TLR|JAK/STAT,SignaLink
Q12918,KLRB1,JAK/STAT,SignaLink
P12830,CDH1,HIPPO,SignaLink
Q96E93,KLRG1,HIPPO,SignaLink
P19022,CDH2,HIPPO,SignaLink
P10321,HLA-C,HIPPO,SignaLink
P43629,KIR3DL1,HIPPO,SignaLink
P30273,FCER1G,HIPPO,SignaLink
P08648,ITGA5,RTK|JAK/STAT,SignaLink
P17693,HLA-G,TNF|JAK/STAT|RTK|IIP,SignaLink
P30273,FCER1G,TNF|JAK/STAT|RTK|IIP,SignaLink
Q15628,TRADD,TNF|RTK|IIP,SignaLink
Q99683,MAP3K5,RTK,SignaLink
Q13233,MAP3K1,RTK|TGF|TCR,SignaLink
P19438,TNFRSF1A,TNF|RTK|IIP,SignaLink
P35659,DEK,TNF|RTK|IIP,SignaLink
P63000,RAC1,WNT/Wingless|RTK|TLR|JAK/STAT,SignaLink
Q8TB45,DEPTOR,WNT/Wingless|RTK|TLR|JAK/STAT,SignaLink
Q8IVT5,KSR1,RTK,SignaLink
P06730,EIF4E,RTK|TGF|JAK/STAT,SignaLink
P23588,EIF4B,RTK,SignaLink
Q13309,SKP2,BCR|HH,SignaLink
Q01974,ROR2,WNT/Wingless|RTK|TGF,SignaLink
Q96CG8,CTHRC1,RTK|JAK/STAT,SignaLink
Q96CG8,CTHRC1,WNT/Wingless,SignaLink
Q96MT3,PRICKLE1,WNT/Wingless,SignaLink
P61586,RHOA,WNT/Wingless|TGF|TCR|IIP,SignaLink
Q9BXY4,RSPO3,WNT/Wingless|RTK|TGF,SignaLink
Q5S007,LRRK2,WNT/Wingless,SignaLink
Q14974,KPNB1,JAK/STAT,SignaLink
Q9BXY4,RSPO3,WNT/Wingless,SignaLink
Q92973,TNPO1,BCR|RTK,SignaLink
Q15750,TAB1,RTK|TLR,SignaLink
Q9Y496,KIF3A,WNT/Wingless|RTK|TGF,SignaLink
Q5JTC6,AMER1,WNT/Wingless|RTK|TGF,SignaLink
Q5JTC6,AMER1,JAK/STAT|RTK|TLR|IIP,SignaLink
P25054,APC,JAK/STAT|RTK|TLR|IIP,SignaLink
P05814,CSN2,JAK/STAT|RTK|TLR|IIP,SignaLink
Q15843,NEDD8,BCR|HH,SignaLink
Q9Y4E8,USP15,HH,SignaLink
O75581,LRP6,WNT/Wingless,SignaLink
O00512,BCL9,WNT/Wingless,SignaLink
P15884,TCF4,WNT/Wingless,SignaLink
P61964,WDR5,WNT/Wingless,SignaLink
Q9UBL3,ASH2L,WNT/Wingless,SignaLink
Q9H0E9,BRD8,WNT/Wingless,SignaLink
P25054,APC,WNT/Wingless,SignaLink
Q9NPF5,DMAP1,WNT/Wingless,SignaLink
Q9H2F5,EPC1,WNT/Wingless,SignaLink
Q9H2F5,EPC1,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
Q9NV56,MRGBP,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
P25054,APC,WNT/Wingless|RTK|TGF|TLR|TCR,SignaLink
P08151,GLI1,HH,SignaLink
Q9UMX1,SUFU,HH,SignaLink
